1011.txt	977	0	0	1547.67		0					1547.67		1547.67		1547.67
1021.txt	258	0	0	127.17		0					127.17		127.17		127.17
1031.txt	129	1	1	300		0.775193798					No	-1		0		7200
1041.txt	74	0	0	2443.94		0					2443.94		2443.94		2443.94
1051.txt	51	0	0	602.16		0					602.16		602.16		602.16
111.txt	117	0	0	5.89		0					5.89		5.89		5.89
121.txt	30	0	0	4.58		0					4.58		4.58		4.58
131.txt	19	0	0	0.34		0					0.34		0.34		0.34
141.txt	10	0	0	0.36		0					0.36		0.36		0.36
151.txt	8	0	0	0.31		0					0.31		0.31		0.31
211.txt	204	0	0	1023.5		0					1023.5		1023.5		1023.5
221.txt	55	0	0	236.03		0					236.03		236.03		236.03
231.txt	27	0	0	17.03		0					17.03		17.03		17.03
241.txt	17	0	0	101.41		0					101.41		101.41		101.41
251.txt	13	0	0	5.83		0					5.83		5.83		5.83
511.txt	501	0	0	117.92		0					117.92		117.92		117.92
521.txt	135	0	0	138.55		0					138.55		138.55		138.55
531.txt	62	0	0	52.48		0					52.48		52.48		52.48
541.txt	39	0	0	103.73		0					103.73		103.73		103.73
551.txt	26	0	0	380.31		0					380.31		380.31		380.31
